video_id,views,likes,comments,channel_id,channel_name,date,duration,category_id,genre,subscribers,Unnamed: 11,Unnamed: 12,Unnamed: 13
49p7hMbCpys,61074032,2948352,4611,UCglXlpWjIi95auM3umWWLdw,Tech Master Shorts,2023-05-04 08:03:00+00:00,56,28,Technology,26500000,,,
ofzwCrlxywc,59182092,1955798,1576,UCoL68NLLSUQqEDwMZPvrdEg,TechBurner Shorts,2023-09-01 17:13:48+00:00,35,28,Technology,6390000,,,
IZl5ipoTIEA,53162940,2647209,3112,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,2023-03-14 10:14:49+00:00,60,28,Technology,22200000,,,
FNnK1J-BdiM,43007923,1908958,7863,UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,2023-06-22 04:03:29+00:00,56,28,Technology,20700000,,,
vkBQW8NZk9k,39995391,1962796,5058,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,2023-05-14 13:01:39+00:00,60,28,Technology,22200000,,,
zu4fYpQHsIE,36553627,1759134,3685,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,2024-01-09 13:18:12+00:00,59,28,Technology,22200000,,,
IOB3ilwdWpg,33699464,1876772,4499,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,2024-01-24 11:31:26+00:00,60,28,Technology,22200000,,,
R9MLiaZPmSE,28716689,960248,8170,UCvpfclapgcuJo0M_x65pfRw,Beebom,2023-06-02 12:28:44+00:00,32,28,Technology,3490000,,,
B5rkzxQUJ8s,28346195,0,602,UCKTOUUStcPg0L194sO_9nzg,Himanshi Multibrand Store (HMS),2024-07-06 14:28:17+00:00,18,28,Technology,102000,,,
f3VgiNX5ws8,31980317,1054851,1520,UCglXlpWjIi95auM3umWWLdw,Tech Master Shorts,2024-10-25 11:00:24+00:00,55,28,Technology,26500000,,,
KG6Nu72Avqg,26538430,820194,9626,UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,2023-03-31 20:36:10+00:00,60,28,Technology,20700000,,,
Rn4si0Xorhc,26473099,1266940,2144,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,2024-05-14 11:18:16+00:00,59,28,Technology,22200000,,,
b0HfmY64eSE,24615261,478890,11201,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,2023-11-25 14:18:33+00:00,2324,28,Technology,22200000,,,
7yZiT3chFOk,24125089,1123345,1845,UCOTGVctbHD4UJK3R6Evfx9Q,TECH-iELA Shorts,2023-11-07 07:39:19+00:00,60,28,Technology,9950000,,,
R3UD88E8nag,23166767,910868,1656,UCOTGVctbHD4UJK3R6Evfx9Q,TECH-iELA Shorts,2024-06-08 10:01:12+00:00,60,28,Technology,9950000,,,
GB_DNkfjXbI,23541886,1238535,1725,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,2023-07-24 14:11:13+00:00,60,28,Technology,22200000,,,
heXw4nN7OAA,21534038,1354032,1254,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,2023-03-01 17:00:39+00:00,47,28,Technology,22200000,,,
6uHKatxjR_o,22378243,1462090,1286,UCglXlpWjIi95auM3umWWLdw,Tech Master Shorts,2023-01-01 05:30:03+00:00,52,28,Technology,26500000,,,
6-fCM_svdJ8,21622459,1551678,2216,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,2023-02-13 18:42:35+00:00,60,28,Technology,22200000,,,
ZjxiNW-6aPU,21610003,749840,501,UCvo2tOQ0yDJLFRi7QAt58yA,MostTechy Shorts,2023-01-24 13:55:01+00:00,28,28,Technology,6410000,,,
TSB3QijQN_k,19781255,1808866,2784,UCrkP7L7oieiejXdQHWLqYIg,Manoj Saru,2023-02-09 12:55:19+00:00,60,28,Technology,9350000,,,
bWaabrlHjZc,20476139,905526,3588,UCglXlpWjIi95auM3umWWLdw,Tech Master Shorts,2023-11-22 13:30:14+00:00,56,28,Technology,26500000,,,
ig9NpsgB_cY,22377945,406280,244,UCnxvhzINEXzpTaxbS59JL-g,SimpleGhar Tamil,2024-08-08 15:25:26+00:00,43,28,Technology,2140000,,,
h359LRmMZMU,18895190,328729,7713,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,2023-05-30 14:02:10+00:00,1382,28,Technology,22200000,,,
wGQHHpemIjk,19867039,1266774,6525,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,2023-04-04 11:20:38+00:00,34,28,Technology,22200000,,,
INd93l30DrQ,19720436,514265,818,UCnxvhzINEXzpTaxbS59JL-g,SimpleGhar Tamil,2024-05-06 14:07:33+00:00,43,28,Technology,2140000,,,
LZYfSYXY-go,18770440,851349,3809,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,2024-01-04 15:32:23+00:00,30,28,Technology,22200000,,,
MFopqLiH3xg,18465173,368518,190,UCcEemKX91VohoKl6uRBAPyQ,SimpleGhar Hindi,2024-04-10 13:35:05+00:00,52,28,Technology,6670000,,,
vGtJRrZUjd8,18111278,1245008,2704,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,2023-04-09 13:06:16+00:00,51,28,Technology,22200000,,,
qoyQK-XJzO8,17598707,733897,682,UCvo2tOQ0yDJLFRi7QAt58yA,MostTechy Shorts,2023-01-05 14:47:40+00:00,32,28,Technology,6410000,,,
UXB9bnuyZb4,17529698,752499,7960,UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,2023-05-19 17:59:11+00:00,60,28,Technology,20700000,,,
sAeLgwkQZxE,16567807,897472,2127,UCl-LwKb3m8uJ3TXqAfeVHnw,High Tech RJ,2023-03-05 09:51:33+00:00,59,28,Technology,69300,,,
ciT6D_8VE7Q,16418036,1033951,4357,UC1D1vdq169T7w5iJ45zZL5Q,Technical Dost,2023-01-07 11:30:09+00:00,60,28,Technology,2600000,,,
neIYdLysqlk,15082667,320238,11571,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,2024-11-13 12:04:54+00:00,1673,28,Technology,22200000,,,
iSswIyAqPaQ,15280400,939132,2452,UCrkP7L7oieiejXdQHWLqYIg,Manoj Saru,2023-03-24 12:38:21+00:00,59,28,Technology,9350000,,,
wG_vpLr-9TU,16599105,337858,513,UC7ySZBzw3bqY7MTk6irMd0Q,SimpleGhar Malayalam,2024-04-04 12:43:59+00:00,38,28,Technology,2300000,,,
_cA7flZnWXg,14879447,336746,191,UCcEemKX91VohoKl6uRBAPyQ,SimpleGhar Hindi,2024-05-06 15:33:37+00:00,45,28,Technology,6670000,,,
tY28ZFDwuQs,14898497,958236,1207,UCglXlpWjIi95auM3umWWLdw,Tech Master Shorts,2023-04-07 14:01:30+00:00,48,28,Technology,26500000,,,
_mbX3lDgEB0,18065064,301009,1391,UCxqG_E-68WAE0TWYfIopv6Q,Digifix,2025-07-06 15:30:16+00:00,35,28,Technology,139000,,,
rWssyQD1uMw,16066355,919421,2419,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,2023-06-15 16:25:26+00:00,60,28,Technology,22200000,,,
XeE11KP8SOw,14734770,397314,827,UC85MIJMcZNnhxx84BZMlJgg,SimpleGhar Telugu,2023-12-09 15:31:05+00:00,55,28,Technology,5800000,,,
sN0-H2JTkfQ,13876812,418539,1099,UCe_vXdMrHHseZ_esYUskSBw,CrazyRussianHacker,2023-07-25 19:32:11+00:00,32,28,Technology,12000000,,,
pW6cVtjIwpY,14591746,799942,558,UCdhyGLBRk_oHt3zrlYyn8-w,TECH WITH AR,2024-09-01 10:07:32+00:00,24,28,Technology,3130000,,,
q5TAMuBh9Lc,13770017,877596,856,UCglXlpWjIi95auM3umWWLdw,Tech Master Shorts,2023-03-29 07:00:16+00:00,48,28,Technology,26500000,,,
peIDxksIfzU,13515798,447443,423,UCvo2tOQ0yDJLFRi7QAt58yA,MostTechy Shorts,2023-06-21 13:58:12+00:00,37,28,Technology,6410000,,,
I4Plata9twc,21132565,305401,262,UC85MIJMcZNnhxx84BZMlJgg,SimpleGhar Telugu,2025-06-18 14:32:28+00:00,50,28,Technology,5800000,,,
Lb4FScsL1Tw,13393787,496059,1004,UCgyvzxg11MtNDfgDQKqlPvQ,AuthenTech - Ben Schmanke,2023-01-26 21:00:07+00:00,41,28,Technology,2630000,,,
cZypFRdPS9M,12261886,220960,7383,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,2025-04-01 12:33:01+00:00,2306,28,Technology,22200000,,,
AClfhmJYyNc,11994963,217596,7886,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,2024-07-04 10:38:25+00:00,2394,28,Technology,22200000,,,
GFeNqZg0mrw,11984866,678253,580,UCoL68NLLSUQqEDwMZPvrdEg,TechBurner Shorts,2023-02-26 14:30:05+00:00,47,28,Technology,6390000,,,
oqOqjnmSMfM,13021681,293292,321,UC85MIJMcZNnhxx84BZMlJgg,SimpleGhar Telugu,2024-03-28 15:15:00+00:00,43,28,Technology,5800000,,,
2m_y5d68xMM,11735127,404807,2928,UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,2023-02-24 20:58:01+00:00,59,28,Technology,20700000,,,
0jHtyF_rCqU,11511005,271879,14287,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,2025-09-26 00:00:01+00:00,777,28,Technology,22200000,,,
lo4bA4p3MBQ,11225195,217648,6175,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,2025-09-03 12:14:29+00:00,1268,28,Technology,22200000,,,
s2OccJMWwkM,11201877,211537,5969,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,2025-10-09 11:17:36+00:00,1366,28,Technology,22200000,,,
HAuVOKZhTqM,11655470,406854,2860,UC0oI44ZUVCqq4meNOOaKPTQ,SpawnPoiint,2023-05-20 15:04:31+00:00,22,28,Technology,1200000,,,
UEUct6vNA3Q,11351936,761093,937,UCp57W-eQjbYUPJuTMEfbf1Q,Counting Unique,2023-01-27 15:56:47+00:00,60,28,Technology,3690000,,,
RhNtlsbjEOw,10832569,395611,6757,UCvpfclapgcuJo0M_x65pfRw,Beebom,2023-03-07 12:37:00+00:00,60,28,Technology,3490000,,,
riqEnleHEGM,10530205,559915,754,UCOTGVctbHD4UJK3R6Evfx9Q,TECH-iELA Shorts,2023-05-20 13:35:40+00:00,59,28,Technology,9950000,,,
NUZ2-FyRijw,12005564,193487,111,UC85MIJMcZNnhxx84BZMlJgg,SimpleGhar Telugu,2024-06-17 13:37:09+00:00,30,28,Technology,5800000,,,
L-kPBcQJ5QA,18276494,0,219,UC8SFy66JbVwPcYhvplWPm1g,Mahadev Tyagi,2025-04-01 05:30:07+00:00,55,28,Technology,609000,,,
e8HVAoW2lUs,10419968,407047,919,UCOTGVctbHD4UJK3R6Evfx9Q,TECH-iELA Shorts,2024-04-05 08:09:45+00:00,59,28,Technology,9950000,,,
y7mBe6BrNtI,17434603,90449,521,UC4QSwuPfLMyL-MTuS5uKerg,Fav Phone,2025-03-12 13:30:44+00:00,18,28,Technology,40700,,,
TitZV6k8zfA,9243813,244465,19548,UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,2024-04-14 22:41:37+00:00,1504,28,Technology,20700000,,,
jC5U_y7NXek,9743285,434935,2441,UCOTGVctbHD4UJK3R6Evfx9Q,TECH-iELA Shorts,2023-11-15 07:45:09+00:00,37,28,Technology,9950000,,,
u7DNUjMAMSo,10316933,249590,201,UC7ySZBzw3bqY7MTk6irMd0Q,SimpleGhar Malayalam,2024-04-02 13:38:45+00:00,50,28,Technology,2300000,,,
ddTV12hErTc,8938616,243003,21951,UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,2024-04-30 00:21:20+00:00,1193,28,Technology,20700000,,,
pa8bfKRgsYE,16062538,382244,756,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,2025-09-19 17:04:16+00:00,56,28,Technology,22200000,,,
mkcgVN90zl0,11024955,548711,5199,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,2025-02-21 14:57:07+00:00,48,28,Technology,22200000,,,
_xLryfjRJAc,8715947,331491,1139,UCkm0j0CQdElEFtWw7agfOlA,Trakin Shorts,2023-03-02 04:30:08+00:00,55,28,Technology,2830000,,,
TW4tITp7qMI,8716564,613819,919,UCEPL07qzVsOcHd3sMUws65g,Trakin Tech,2023-05-21 05:30:10+00:00,60,28,Technology,15400000,,,
